"x","y","objectid","stop_name","stop_lat","stop_lon","town","stop_code"
-8589360.48,4723397.922,190,"BRADLEY BLV & SEVEN LOCKS RD",39.012051,-77.159538,"Potomac","20410"
-8588902.6229,4723337.8938,191,"BRADLEY BLV & @7601",39.011632,-77.155425,"Potomac","20412"
-8588696.014,4723113.8298,192,"BRADLEY BLV & @7501",39.010068,-77.153569,"Potomac","20414"
-8588322.6484,4722852.5236,193,"BRADLEY BLV & @7320",39.008244,-77.150215,"Bethesda","20416"
-8588115.5941,4722662.8517,194,"BRADLEY BLV & REDWOOD AVE",39.00692,-77.148355,"Bethesda","20418"
-8587810.2448,4722409.1495,195,"BRADLEY BLV & OAK FOREST LA",39.005149,-77.145612,"Bethesda","20420"
-8587386.3402,4722466.0206,196,"BRADLEY BLV & @6912",39.005546,-77.141804,"Bethesda","20422"
-8587211.4572,4722420.0366,197,"BRADLEY BLV & BURDETTE RD",39.005225,-77.140233,"Bethesda","20423"
-8586900.7645,4722209.7449,198,"BRADLEY BLV & BURNING TREE RD",39.003757,-77.137442,"Bethesda","20424"
-8586634.2657,4722132.2475,199,"BRADLEY BLV & FERNWOOD RD",39.003216,-77.135048,"Bethesda","20426"
-8586341.2728,4721815.8177,200,"BRADLEY BLV & HILLMEAD RD",39.001007,-77.132416,"Bethesda","20428"
-8586203.4592,4721409.1577,201,"BRADLEY BLV & HOWELL RD",38.998168,-77.131178,"Bethesda","20430"
-8585974.9203,4721166.6592,202,"BRADLEY BLV & WOODHAVEN BLVD",38.996475,-77.129125,"Bethesda","20432"
-8585683.4859,4721066.5389,203,"BRADLEY BLV & VALLEY RD",38.995776,-77.126507,"Bethesda","20434"
-8585404.5193,4720929.0363,204,"BRADLEY BLV & @6115",38.994816,-77.124001,"Bethesda","20436"
-8585227.9665,4720772.1996,205,"BRADLEY BLV & SELVYN RD",38.993721,-77.122415,"Bethesda","20438"
-8585040.1706,4720690.2731,206,"BRADLEY BLV & RAYBURN RD",38.993149,-77.120728,"Bethesda","20440"
-8584700.9801,4720413.5613,207,"BRADLEY BLV & ABERDEEN RD",38.991217,-77.117681,"Bethesda","20442"
-8584463.8696,4719968.432,208,"BRADLEY BLV & ENGLISH CT",38.988109,-77.115551,"Bethesda","20444"
-8584443.9434,4719668.5393,209,"BRADLEY BLV & WILSON LA",38.986015,-77.115372,"Bethesda","20446"
-8584400.1948,4719430.3786,210,"BRADLEY BLV & OLD CHESTER RD",38.984352,-77.114979,"Bethesda","20448"
-8584339.0804,4719292.1822,211,"BRADLEY BLV & DURBIN RD",38.983387,-77.11443,"Bethesda","20450"
-8584178.8917,4719051.8823,212,"BRADLEY BLV & BEAM CT",38.981709,-77.112991,"Bethesda","20452"
-8584045.0856,4718893.6427,213,"BRADLEY BLV & BRITE DR",38.980604,-77.111789,"Bethesda","20454"
-8583918.738,4718740.7039,214,"BRADLEY BLV & AUDUBON RD",38.979536,-77.110654,"Bethesda","20456"
-8583789.0508,4718542.0875,215,"BRADLEY BLV & PEMBROKE RD",38.978149,-77.109489,"Bethesda","20458"
-8583521.3274,4718395.3114,216,"BRADLEY BLV & GOLDSBORO RD",38.977124,-77.107084,"Bethesda","20460"
-8583311.7128,4718383.8558,217,"BRADLEY BLV & GLENBROOK RD",38.977044,-77.105201,"Bethesda","20462"
-8582868.5499,4718456.3127,218,"BRADLEY BLV & FAIRFAX RD",38.97755,-77.10122,"Bethesda","20464"
-8582794.7451,4718507.4338,219,"BRADLEY BLV & FAIRFAX RD",38.977907,-77.100557,"Bethesda","20468"
-8583265.6266,4718428.9623,220,"BRADLEY BLV & GLENBROOK RD",38.977359,-77.104787,"Bethesda","20470"
-8583511.8653,4718427.5303,221,"BRADLEY BLV & GOLDSBORO RD",38.977349,-77.106999,"Bethesda","20472"
-8583772.1302,4718554.116,222,"BRADLEY BLV & PEMBROKE RD",38.978233,-77.109337,"Bethesda","20474"
-8583894.1364,4718733.8303,223,"BRADLEY BLV & AUDUBON RD",38.979488,-77.110433,"Bethesda","20476"
-8584045.4196,4718917.5575,224,"BRADLEY BLV & BRITE DR",38.980771,-77.111792,"Bethesda","20478"
-8584142.0449,4719033.1226,225,"BRADLEY BLV & CORNISH RD",38.981578,-77.11266,"Bethesda","20480"
-8584320.7127,4719287.3131,226,"BRADLEY BLV & DURBIN RD",38.983353,-77.114265,"Bethesda","20482"
-8584375.9272,4719415.0552,227,"BRADLEY BLV & OLD CHESTER RD",38.984245,-77.114761,"Bethesda","20484"
-8584432.4775,4719667.1071,228,"BRADLEY BLV & WILSON LA",38.986005,-77.115269,"Bethesda","20486"
-8584520.3085,4720127.9773,229,"BRADLEY BLV & YORK LA",38.989223,-77.116058,"Bethesda","20488"
-8584692.0745,4720420.5792,230,"BRADLEY BLV & ABERDEEN RD",38.991266,-77.117601,"Bethesda","20490"
-8584777.6792,4720623.3861,231,"BRADLEY BLV & HUNTINGTON PKWY",38.992682,-77.11837,"Bethesda","20492"
-8585000.2069,4720710.4682,232,"BRADLEY BLV & RAYBURN RD",38.99329,-77.120369,"Bethesda","20494"
-8585288.0791,4720852.5512,233,"BRADLEY BLV & EWING DR",38.994282,-77.122955,"Bethesda","20496"
-8585422.1077,4720956.2502,234,"BRADLEY BLV & @6115",38.995006,-77.124159,"Bethesda","20498"
-8585692.3915,4721078.7137,235,"BRADLEY BLV & VALLEY RD",38.995861,-77.126587,"Bethesda","20500"
